drug,condition,rating,side_effects,helped,sentiment
Montelukast,Allergic Rhinitis,7,"['epistaxis (nosebleeds)', 'nasal congestion', 'itchy eyes', 'itchy mouth', 'ear pressure', 'ear cracking', 'morning stuffiness']",True,positive
Vortioxetine,Depression,9,[],True,positive
Advair Diskus,"Asthma, Maintenance",10,[],True,positive
Modafinil,Obstructive Sleep Apnea/Hypopnea Syndrome,9,['headache'],True,positive
Claritin-D 24 Hour,Nasal Congestion,8,"['insomnia', 'delayed sleep onset', 'brain fog', 'cognitive impairment', 'fatigue']",True,mixed
Azithromycin,Chlamydia Infection,10,['stomach pain'],True,positive
Quetiapine,,9,"['orthostatic hypotension', 'fainting', 'restless legs', 'overeating']",True,mixed
Streptokinase,Heart Attack,10,[],True,positive
Casodex,Prostate Cance,1,[],False,negative
Metadate CD,ADHD,6,"['grouchiness', 'poor focus', 'arguing', 'vocal tics', 'motor tics', 'aggression', 'moodiness']",True,mixed
Omnicef,Bronchitis,1,"['diarrhea', 'hemorrhoid flare-up']",False,negative
Desvenlafaxine,Depression,10,[],True,positive
Lunesta,Insomnia,7,"['headaches', 'restless legs', 'metallic taste']",True,mixed
Forteo,Osteoporosis,4,[],False,negative
Amethia,Birth Control,10,[],True,positive
Levonorgestrel,Birth Control,9,"['pain during insertion', 'vaginal pressure', 'vaginal discomfort', 'sensation of needing to defecate']",True,positive
Duloxetine,Depression,7,"['memory impairment', 'apathy', 'demotivation', 'brain fog', 'emotional blunting/robotic feeling', 'social withdrawal', 'creative thought impairment', 'memory problems at high dose']",True,mixed
Metronidazole,Trichomoniasis,10,[],,positive
Fluoxetine,Depression,10,[],True,positive
Microgestin Fe 1 / 20,Acne,3,"['worsening acne', 'breakouts']",False,negative
Valacyclovir,"Herpes Simplex, Suppression",10,[],True,positive
Implanon,Birth Control,3,"['prolonged menstruation', 'hair thinning', 'depression', 'recurrent urinary tract infections', 'weight gain']",False,negative
Omalizumab,Urticaria,2,[],False,negative
Ethinyl estradiol / levonorgestrel,Birth Control,8,[],True,positive
Subutex,Opiate Dependence,8,"['upset stomach', 'aching legs', 'insomnia']",True,positive
Ethinyl estradiol / norgestimate,Birth Control,1,"['severe anxiety exacerbation', 'depression worsening', 'anhedonia', 'fatigue', 'difficulty getting out of bed']",False,negative
Carisoprodol,Muscle Spasm,10,[],True,negative
Plan B,Emergency Contraception,7,"['acne/breakout', 'cramping', 'bloating']",True,positive
Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,8,"['frequent urination', 'diarrhea']",True,positive
Levonorgestrel,Birth Control,4,"['cramps', 'headache', 'dizziness', 'bleeding', 'stomach pain']",False,negative
OxyContin,Pain,9,[],True,positive
Veramyst,Rhinitis,10,[],True,positive
Loestrin 24 Fe,Acne,6,"['migraines', 'nausea', 'fatigue', 'acne', 'increased appetite', 'bloating']",,negative
Wellbutrin XL,Major Depressive Disorde,10,['dry mouth'],True,positive
Dilaudid,Pain,10,[],True,positive
Sulfamethoxazole / trimethoprim,Urinary Tract Infection,8,"['severe insomnia', 'nausea', 'feeling out of it', 'lethargy', 'urinary hesitancy']",,negative
X-Viate,Dry Skin,10,[],True,positive
Lexapro,Depression,9,[],True,positive
ella,Emergency Contraception,6,"['delayed period', 'light spotting', 'cramps', 'anxiety']",True,positive
Zoloft,Depression,10,[],True,positive
Ocella,Birth Control,9,[],True,positive
Saphris,Bipolar Disorde,8,"['decreased libido', 'erectile dysfunction', 'decreased creativity', 'impaired long-term memory', 'memory loss']",True,mixed
Ethinyl estradiol / norelgestromin,Birth Control,2,"['hallucinations/intrusive thoughts', 'anxiety', 'health anxiety', 'headaches', 'progressive worsening headaches', 'nausea', 'loss of balance', 'vertigo', 'nystagmus', 'weight gain', 'muscle pain', 'rash', 'itching', 'cough']",False,negative
Linaclotide,"Constipation, Chronic",1,[],False,negative
Chantix,Smoking Cessation,9,[],True,mixed
Enbrel,Ankylosing Spondylitis,9,['fatigue'],True,mixed
Oxymorphone,Pain,9,"['fatigue', 'tolerance buildup']",True,positive
Hydromorphone,Chronic Pain,8,['tolerance'],True,positive
Tapentadol,Pain,9,[],True,positive
Magnesium hydroxide,Constipation,3,['constipation'],True,mixed
Olanzapine,Bipolar Disorde,9,[],True,positive
Tapentadol,Pain,4,"['nausea', 'headaches', 'feeling wired', 'palpitations', 'anxiety']",True,mixed
Quetiapine,Bipolar Disorde,2,"['weight gain', 'fatigue', 'restless leg syndrome', 'hyperglycemia']",,negative
Cyclosporine,Keratoconjunctivitis Sicca,1,[],,negative
Fexofenadine,Allergic Rhinitis,1,"['insomnia', 'stimulant-like effects', 'excessive dryness of sinuses', 'epistaxis risk']",True,mixed
Dicyclomine,Irritable Bowel Syndrome,8,"['loopiness', 'giddiness', 'drunkenness', 'throat swelling', 'blurred vision', 'dry mouth', 'sneezing', 'nasal congestion']",True,mixed
Inderal,Benign Essential Trem,9,[],True,positive
Citalopram,Depression,9,['mild side effects'],True,positive
Epiduo,Acne,10,[],True,positive
Triavil,Anxiety,9,['sedation'],True,positive
Tioconazole,Vaginal Yeast Infection,1,"['difficulty walking', 'vaginal burning']",False,negative
Clonazepam,Panic Disorde,9,[],True,positive
Orsythia,Birth Control,1,"['nausea', 'weight gain', 'breakouts', 'mood swings']",False,negative
Phentermine,Weight Loss,1,[],True,positive
Varenicline,Smoking Cessation,9,[],True,positive
Treximet,Migraine,10,[],True,positive
Mirena,Birth Control,10,"['low sex drive', 'uterine contractions', 'amenorrhea', 'premenstrual syndrome']",True,positive
Desogestrel / ethinyl estradiol,Birth Control,10,['decreased libido'],True,positive
Kenalog-10,Psoriasis,10,[],True,negative
Corgard,Supraventricular Tachycardia,9,[],True,positive
Toradol,Pain,9,['injection site pain'],True,positive
Bupropion,Depression,4,"['depression worsening', 'increased anxiety', 'constipation', 'upper GI slowness', 'abnormal vaginal odor']",False,negative
Tramadol,Pain,9,['blurred vision'],True,mixed
Tegretol XR,Epilepsy,9,"['tremors', 'drug tolerance']",True,mixed
Ethinyl estradiol / norethindrone,,8,"['spotting', 'amenorrhea']",True,positive
Biaxin,Sinusitis,10,[],True,positive
Macrobid,Urinary Tract Infection,1,"['feeling weird', 'eye pain', 'neck pain', 'terror/fear']",False,negative
Magnesium salicylate,Pain,10,[],True,positive
Differin,Acne,6,"['skin peeling', 'redness', 'tenderness', 'increased breakouts']",,mixed
Topamax,Migraine Prevention,10,"['diarrhea', 'weight loss', 'word recall difficulty', 'memory loss']",True,positive
Ciprofloxacin,Bladder Infection,2,"['dizziness', 'nausea', 'pain', 'hematuria']",False,negative
Viberzi,Irritable Bowel Syndrome,8,[],True,positive
Zoloft,Social Anxiety Disorde,10,"['tremor', 'insomnia']",True,positive
Ethinyl estradiol / norgestimate,Birth Control,2,"['emotional instability', 'crying', 'paranoia', 'depression', 'feeling unlike oneself']",True,mixed
Gabapentin,Anxiety,1,[],False,negative
Phentermine,Weight Loss,9,[],True,positive
ParaGard,Birth Control,10,"['pain during insertion', 'spotting', 'light vaginal flow']",True,positive
Avanafil,Erectile Dysfunction,1,[],False,negative
Atarax,Anxiety,9,"['yawning', 'sleepiness', 'sedation', 'impaired driving ability']",True,positive
Systane,Eye Redness,1,"['severe redness around eyes', 'swelling around eyes', 'itching around eyes']",False,negative
Citalopram,Obsessive Compulsive Disorde,2,"['tics', 'constant yawning', 'restless leg syndrome', 'eye twitching', 'insomnia', 'exhaustion', 'severe sexual dysfunction', 'anhedonia', 'emotional blunting']",True,negative
Ethinyl estradiol / norelgestromin,Birth Control,9,[],True,positive
Isotretinoin,Acne,5,"['dry skin', 'dry lips', 'dry scalp', 'nausea', 'pain', 'anxiety', 'depression']",True,mixed
Levothyroxine,Underactive Thyroid,2,"['fatigue', 'dry hair', 'weight gain', 'heat intolerance', 'hyperhidrosis', 'amenorrhea']",False,negative
Implanon,Birth Control,8,"['irregular menstrual bleeding', 'spotting', 'heavy menstrual flow', 'implant site pain', 'implant site ache', 'implant site shock sensation']",True,mixed
Uniphyl,"Asthma, acute",8,[],True,positive
Soma,Muscle Spasm,10,[],True,negative
Bupropion,Smoking Cessation,5,[],True,positive
Humira,Psoriatic Arthritis,3,"['itchy eyes', 'sinus pain', 'rhinitis', 'allergic reaction', 'swelling', 'erythema', 'pain at injection site']",False,negative
Ethinyl estradiol / levonorgestrel,Birth Control,1,"['blood clot', 'pain', 'swelling', 'aching', 'burning sensations']",False,negative
Mirtazapine,Major Depressive Disorde,1,"['tiredness', 'excessive sedation', 'inability to wake up', 'hypersomnia', 'impaired functioning']",True,negative
ParaGard,Birth Control,10,"['emotional instability', 'decreased libido', 'vaginal dryness', 'dyspareunia', 'menorrhagia', 'dysmenorrhea']",True,positive
Cymbalta,Back Pain,1,"['muscle cramping', 'withdrawal symptoms', 'constant itching', 'debilitating cramps']",True,negative
Mesalamine,"Crohn's Disease, Maintenance",10,['weight gain'],True,positive
Voltaren Gel,Osteoarthritis,10,[],True,positive
Scopolamine,Nausea/Vomiting,3,"['nausea', 'dry mouth', 'farsightedness', 'blurred vision']",False,negative
Lisdexamfetamine,Asperger Syndrome,5,"['restlessness', 'decreased affection/lovability']",False,negative
Escitalopram,Generalized Anxiety Disorde,9,"['yawning', 'sleepiness']",True,positive
Ethinyl estradiol / norethindrone,Birth Control,8,"['premenstrual syndrome symptoms', 'weight gain']",True,positive
Paxil,Depression,1,"['nausea', 'stomach problems', 'black and white thinking', 'worsening of symptoms', 'withdrawal symptoms']",False,negative
Phentermine,Obesity,9,[],True,positive
Aviane,Birth Control,8,"['nausea', 'headaches', 'fatigue', 'acne', 'stomach pain']",True,positive
Concerta,ADHD,10,"['insomnia', 'emotional dysregulation', 'hyperactivity', 'impulsivity', 'concentration difficulties']",True,positive
Miconazole,Vaginal Yeast Infection,9,['mild exterior itching'],True,positive
Suprep Bowel Prep Kit,Bowel Preparation,10,[],True,positive
Olanzapine,Schizoaffective Disorde,1,"['weight gain', 'nocturnal awakening', 'food cravings', 'insomnia', 'satiety dysfunction', 'emotional blunting', 'loss of empathy', 'addiction']",False,negative
Beyaz,Acne,10,"['drowsiness', 'spotting', 'breast tenderness']",True,positive
Rosuvastatin,High Cholesterol,3,"['chest pain', 'lung pain', 'insomnia', 'pain worsening when lying down']",False,negative
Sovaldi,Hepatitis C,5,"['severe bone and joint pain', 'itchy rashy skin', 'weight gain', 'thyroid dysfunction', 'chronic fatigue', 'severe depression', 'difficulty dealing with people', 'explosive personality', 'difficulty concentrating', 'loss of interest in activities', 'excessive daytime sleepiness']",True,negative
Skyla,Birth Control,7,"['heavy bleeding', 'acne']",True,mixed
Ethinyl estradiol / norethindrone,,2,"['menorrhagia', 'weight gain', 'irritability', 'emotional lability', 'dysphoria', 'fatigue', 'depression']",True,mixed
Xodol,Back Pain,10,[],True,positive
Fluconazole,Vaginal Yeast Infection,10,[],True,positive
Linaclotide,"Constipation, Chronic",10,[],True,positive
Dulcolax Laxative,Constipation,10,['abdominal pain'],True,positive
Tadalafil,,8,[],True,mixed
Ethinyl estradiol / norgestimate,Birth Control,5,"['acne', 'weight gain', 'severe menstrual cramps']",True,mixed
Xulane,Birth Control,8,"['rash', 'itching']",True,mixed
Miconazole,Vaginal Yeast Infection,10,"['intense itching', 'burning sensation']",True,positive
Lorazepam,Anxiety,2,"['addiction', 'tolerance', 'rebound anxiety', 'reflex anxiety']",True,negative
Spiriva,"COPD, Maintenance",10,[],True,positive
Dulcolax,Constipation,8,"['stomach pain', 'diarrhea', 'insomnia', 'constipation', 'gas', 'fatigue']",True,positive
St. john's wort,Depression,3,"['tremors', 'dissociation', 'anxiety', 'brain zaps', 'nausea', 'brain fog', 'insomnia', 'tinnitus', 'photophobia']",False,negative
Aripiprazole,Depression,5,"['emotional blunting', 'anhedonia', 'increased appetite for sweets', 'cravings']",True,mixed
Desvenlafaxine,Depression,1,"['worsened depression', 'headaches', 'brain fog', 'nausea', 'tremors']",False,negative
Methadone,Pain,10,[],True,positive
Sertraline,Major Depressive Disorde,7,['decreased libido'],True,mixed
NuvaRing,Birth Control,9,[],True,positive
Gianvi,Birth Control,9,[],True,positive
Cephalexin,Skin or Soft Tissue Infection,6,[],False,mixed
Duloxetine,ibromyalgia,2,"['weight gain', 'constipation', 'odd dreams', 'hot flashes']",True,mixed
Copaxone,Multiple Sclerosis,9,['injection failure (approximately 1 per week)'],True,positive
Fetzima,Major Depressive Disorde,5,['sweating'],True,mixed
Beclomethasone,"Asthma, Maintenance",3,"['cold tingling feeling in throat', 'chest pressure', 'increased need for inhaler use']",False,negative
Levonorgestrel,Birth Control,9,[],True,positive
Orsythia,Birth Control,3,"['severe mood changes', 'crying', 'sadness', 'contact lens intolerance', 'finger swelling', 'weight gain', 'water retention', 'headaches', 'decreased libido']",True,mixed
Senna,Constipation,10,"['constipation', 'gastroparesis', 'nausea', 'bloating', 'cramping']",True,positive
Effexor XR,Panic Disorde,7,['panic attacks'],True,positive
Canasa,"Ulcerative Colitis, Active",6,"['headaches', 'acne', 'fatigue', 'susceptibility to infections']",True,mixed
ParaGard,Birth Control,10,['internal pain'],True,positive
Ethinyl estradiol / norgestimate,Birth Control,10,[],True,positive
Estradiol,Hypoestrogenism,5,"['fatigue', 'muscle atrophy', 'clitoral atrophy', 'loss of libido']",True,mixed
Naprelan,Sciatica,9,[],True,positive
Sertraline,Obsessive Compulsive Disorde,10,['tough adjustment period'],True,positive
Bupropion / naltrexone,Obesity,10,"['decreased appetite', 'early satiety', 'dry mouth', 'lower back pain']",True,positive
Desogestrel / ethinyl estradiol,Birth Control,3,"['decreased libido', 'anxiety', 'nervousness', 'paranoia', ""obsessive thoughts about others' perceptions""]",True,mixed
Topiramate,Obesity,5,"['memory degradation', 'recall degradation']",True,positive
Botox,Overactive Bladde,1,"['urinary retention', 'straining to void', 'urinary urgency', 'sensation of incomplete bladder emptying', 'hand swelling', 'foot swelling', 'anaphylactic reaction']",False,negative
Acetaminophen / hydrocodone,Pain,9,['itching'],True,positive
Celexa,Depression,8,"['mood disruption', 'sleep disruption', 'memory problems']",True,mixed
Boniva,Osteoporosis,2,"['joint pain', 'joint clicking']",False,negative
Implanon,Birth Control,10,['spotting'],True,positive
Tramadol,Pain,10,[],True,positive
Ethinyl estradiol / levonorgestrel,Birth Control,4,"['acne', 'bleeding between periods', 'cramping', 'severe anxiety', 'headaches', 'moodiness', 'weight gain']",True,mixed
Tri-Sprintec,Birth Control,9,"['prolonged menstrual bleeding', 'irregular periods']",True,positive
Finasteride,Androgenetic Alopecia,10,"['reduced libido', 'reduced morning wood']",True,positive
Exenatide,"Diabetes, Type 2",3,"['bleeding at injection site', 'bruising', 'heart palpitations', 'dizziness', 'lethargy', 'vomiting', 'nausea', 'loss of appetite', 'anxiety']",,negative
Lamictal,Bipolar Disorde,10,[],True,positive
Gardasil,Human Papillomavirus Prophylaxis,10,[],True,positive
Viagra,Erectile Dysfunction,1,[],False,negative
Fetzima,Major Depressive Disorde,10,[],True,positive
Paroxetine,Panic Disorde,9,['anxiety worsening'],True,positive
Tri-Sprintec,Acne,9,[],False,mixed
Aleve,Pain,10,[],True,positive
Dexlansoprazole,GERD,10,[],True,positive
Abilify,Bipolar Disorde,4,"['low mood', 'mood instability', 'heavy sedation', 'excessive sleeping', 'dissociation', 'blurred vision']",True,negative
Bupropion,,9,[],True,positive
Mesalamine,"Ulcerative Colitis, Active",8,[],True,positive
Implanon,Birth Control,9,"['prolonged menstrual bleeding', 'spotting', 'irregular menstrual cycles', 'weight gain']",True,positive
Symbicort,"Asthma, Maintenance",5,"['hair loss', 'hoarseness']",True,mixed
Tramadol,Pain,10,[],True,positive
Norethindrone,Birth Control,6,"['Heavy bleeding', 'Blood clots', 'Increased hunger', 'Sore breasts', 'Acne', 'Continuous bleeding']",True,negative
Klonopin,Anxiety,10,"['anxiety episodes', 'depression']",True,positive
Lamotrigine,Bipolar Disorde,10,[],True,positive
Citalopram,Anxiety and Stress,8,"['yawning', 'sexual dysfunction']",True,mixed
Varenicline,Smoking Cessation,10,"['stomach pain', 'nausea', 'bloating']",True,positive
Abreva,Herpes Simplex,1,[],False,negative
Saxenda,Obesity,3,"['chest pain', 'blurred vision', 'headache', 'nausea', 'vomiting']",False,negative
Lacosamide,Seizures,9,[],True,positive
LoSeasonique,Endometriosis,7,"['headaches', 'lack of energy', 'decreased libido']",,mixed
Levonorgestrel,Emergency Contraception,10,"['cervical mucous thickening', 'cramping', 'nausea', 'headaches', 'breast tenderness', 'anxiety']",True,positive
Lutera,Birth Control,8,"['breast tenderness', 'increased appetite', 'mood swings', 'irritability']",True,mixed
Leuprolide,Uterine Fibroids,9,"['night sweats', 'early onset menopause']",True,positive
Skyla,Birth Control,10,"['pain during insertion', 'sharp pinch sensation', 'cramping']",True,positive
Desogestrel / ethinyl estradiol,Birth Control,9,[],True,positive
Viibryd,Depression,8,"['nausea', 'gastrointestinal issues', 'increased appetite for sweets', 'stomach bloat', 'restless legs', 'restlessness']",True,positive
Nasacort,Allergic Rhinitis,1,['worsening of nasal symptoms'],False,negative
Acyclovir,Herpes Simplex,8,[],True,positive
Zolpidem,Insomnia,1,"['ineffective for sleep', 'inability to achieve deep sleep', 'frequent napping', 'excessive dreaming', 'prolonged REM sleep', 'exhaustion']",False,negative
Celexa,Anxiety and Stress,10,"['severe TMJ', 'teeth grinding', 'teeth clenching']",True,positive
Epiduo,Acne,8,[],True,positive
Lisdexamfetamine,Binge Eating Disorde,7,[],True,mixed
Gabapentin,Bipolar Disorde,10,"['deep depression', 'uncontrollable crying']",True,mixed
Duloxetine,Generalized Anxiety Disorde,10,"['brain zaps', 'teeth clenching', 'nausea', 'lethargy']",True,positive
Lunesta,Insomnia,2,['hangover'],True,mixed
Enalapril,Left Ventricular Dysfunction,1,"['persistent cough', 'pancreatitis', 'inability to eat', 'inability to drink fluids']",False,negative
Cyclobenzaprine,Muscle Spasm,6,[],True,positive
Combivent Respimat,"COPD, Maintenance",10,[],True,positive
Venlafaxine,Anxiety,9,[],True,positive
Mirena,Birth Control,9,"['spotting', 'mood changes', 'increased appetite', 'insertion pain', 'cramps']",True,mixed
Gabapentin,Anxiety,10,['foggy feeling'],True,positive
Nitrofurantoin,Urinary Tract Infection,10,[],True,positive
Synvisc-One,Osteoarthritis,5,[],True,mixed
Micardis,High Blood Pressure,1,"['swelling of feet', 'swelling of ankles', 'swelling of legs', 'swelling of hands']",False,negative
Interferon beta-1a,Multiple Sclerosis,5,"['chills', 'muscle aches', 'joint aches', 'headache', 'fatigue']",,mixed
Tramadol,Pain,7,"['constipation', 'loss of appetite']",True,positive
Tri-Previfem,Abnormal Uterine Bleeding,2,"['prolonged menstrual period', 'heavy menstrual bleeding', 'increased pad usage']",False,negative
Tranexamic acid,Menstrual Disorders,3,"['heavy bleeding', 'clotting', 'severe cramps', 'increased menstrual flow on days 3-4']",False,negative
Buspirone,Anxiety,10,['headaches'],True,positive
Oxycodone,Pain,10,[],True,positive
Ethinyl estradiol / levonorgestrel,Birth Control,1,"['continuous bleeding', 'abnormal menstrual bleeding']",False,negative
Minoxidil,Alopecia,7,['headaches'],True,mixed
Ethinyl estradiol / levonorgestrel,Birth Control,5,"['irritability', 'decreased libido', 'vaginal dryness', 'depression', 'cramping']",True,mixed
Levonorgestrel,Birth Control,1,"['pain', 'irregular periods', 'polycystic ovaries', 'device perforation', 'uterine perforation']",False,negative
Cyclobenzaprine,Muscle Spasm,4,"['leg pain', 'nocturnal leg aching']",,negative
Levora,Birth Control,1,"['panic attacks', 'fatigue', 'nausea', 'mood swings', 'emotional instability', 'anxiety', 'hostility', 'depression']",False,negative
Soma,Muscle Spasm,9,"['dizziness', 'intoxication-like feeling']",True,positive
Cipro,Urinary Tract Infection,9,[],True,positive
Naproxen,Muscle Pain,8,[],True,positive
Etonogestrel,Birth Control,3,"['pain at insertion site', 'bleeding', 'weight gain', 'weight loss resistance', 'loss of libido', 'pain at implant site', 'acne', 'pain during removal', 'discomfort during removal', 'bruising']",False,negative
Ortho Evra,Birth Control,9,[],True,positive
Fluoxetine,Anxiety and Stress,6,"['lack of energy', 'tiredness', 'fatigue', 'decreased sense of humor', 'decreased libido', 'decreased appetite', 'apathy', 'hangover-like symptoms']",True,mixed
Celexa,Anxiety and Stress,9,"['insomnia', 'sleep disturbance', 'drowsiness', 'irritability', 'impatience']",True,positive
Vivelle-Dot,Primary Ovarian Failure,3,['muscle aches'],False,negative
Escitalopram,Generalized Anxiety Disorde,3,"['hives', 'lethargy', 'fatigue']",,negative
Linzess,"Constipation, Chronic",10,[],True,positive
Climara,Postmenopausal Symptoms,10,"['insomnia', 'night sweats', 'mood changes', 'uncontrollable crying']",True,positive
Levonorgestrel,Emergency Contraception,1,[],False,negative
Magnesium citrate,Constipation,9,[],True,positive
Metoprolol,Atrial Fibrillation,8,[],True,mixed
Victoza,Weight Loss,10,[],True,positive
Drospirenone / ethinyl estradiol / levomefolate calcium,Birth Control,10,[],True,positive
Apomorphine,Parkinson's Disease,9,['nausea'],True,mixed
Skelaxin,Muscle Spasm,8,['headache'],True,positive
Implanon,Birth Control,2,"['irregular menstrual cycle', 'spotting', 'heavy menstrual bleeding', 'menstrual cramping', 'bloating', 'weight gain', 'mood swings']",False,negative
Nitrofurantoin,Bladder Infection,7,"['shortness of breath', 'chest heaviness', 'dyspnea on exertion', 'dry cough', 'lung discomfort']",True,mixed
Escitalopram,Anxiety,4,"['vivid dreams', 'bizarre dreams', 'insomnia', 'poor sleep quality']",True,mixed
Budesonide / formoterol,moterol),10,[],,neutral
Concerta,ADHD,8,['upset stomach'],True,positive
Effexor,Depression,1,"['sedation', 'bizarre dreams', 'feeling stoned', 'headache', 'stomachache', 'tremors', 'jitters', 'mydriasis']",False,negative
Doxycycline,Acne,9,"['stomach pain', 'yeast infection']",True,positive
Prozac,Anxiety and Stress,10,"['anxiety heightened', 'feeling like losing control of mind']",True,positive
Alli,Obesity,1,['diarrhea'],False,negative
Naloxegol,Opioid-Induced Constipation,1,"['diarrhea', 'severe abdominal cramps', 'severe pain', 'nausea/vomiting']",False,negative
Levonorgestrel,Emergency Contraception,10,"['fatigue', 'headaches', 'cramping', 'light bleeding', 'menstrual cycle disruption', 'prolonged menstrual bleeding']",True,mixed
Inulin,Dietary Fiber Supplementation,5,"['bloating', 'indigestion', 'heartburn', 'diarrhea', 'abdominal pain']",,negative
BuSpar,Anxiety,1,[],False,negative
Epiduo,Acne,9,"['dry skin', 'dry eyes']",True,positive
Ethinyl estradiol / levonorgestrel,Birth Control,10,"['mood changes', 'menorrhagia', 'dysmenorrhea']",True,positive
ParaGard,Birth Control,1,[],False,negative
Liraglutide,Weight Loss,10,[],True,positive
Ethinyl estradiol / norgestimate,Birth Control,8,"['breast enlargement', 'mood swings', 'leg pain']",,positive
Ethinyl estradiol / norgestimate,Birth Control,10,"['nausea', 'mood changes']",True,positive
Medroxyprogesterone,Birth Control,1,"['nausea', 'vomiting', 'headaches', 'blood clots', 'menstrual cramps', 'irregular periods', 'spotting', 'acne', 'depression', 'anxiety', 'mood swings', 'panic attacks', 'sexual dysfunction']",False,negative
Vilazodone,Depression,1,"['brain zaps', 'withdrawal symptoms', 'sleep paralysis', 'memory loss', 'vivid nightmares', 'headaches', 'blurred vision', 'inability to function']",True,negative
Lorcaserin,Obesity,7,"['feeling stoned', 'dizziness', 'brain fog', 'chest tightness', 'fatigue', 'mild cough', 'ear pain', 'jaw pain', 'sneezing fits']",True,positive
Methadone,Opiate Withdrawal,10,[],True,positive
Glucovance,"Diabetes, Type 2",8,[],True,positive
Levonorgestrel,Abnormal Uterine Bleeding,10,[],,positive
Amitriptyline,Pain,10,[],True,positive
Suboxone,Opiate Dependence,9,"['sedation', 'annoying effects']",True,positive
Copper,Birth Control,10,"['nausea', 'near syncope', 'decreased libido']",True,positive
Sprintec,Abnormal Uterine Bleeding,1,"['severe migraines', 'loss of vision', 'anxiety attacks', 'stomach problems', 'bowel problems', 'debilitating pain', 'significant weight loss']",False,negative
Implanon,Birth Control,1,"['irregular bleeding', 'lower back pain', 'depression', 'increased appetite', 'weight gain', 'bloating']",False,negative
Harvoni,Hepatitis C,10,['slight rash on back of hands'],True,positive
Doxycycline,Acne,9,['oily skin'],True,positive
Efudex,Keratosis,9,"['blotchy skin', 'swollen', 'pain', 'unsightly appearance']",True,mixed
Gildess Fe 1 / 20,Birth Control,8,['decreased libido'],True,mixed
Varenicline,Smoking Cessation,10,"['decreased appetite', 'altered taste perception']",True,positive
Phentermine,Weight Loss,10,[],True,positive
Drysol,Hyperhidrosis,10,"['skin soreness', 'skin redness']",True,positive
Mirena,Birth Control,1,"['insertion pain', 'weight gain', 'depression', 'back pain', 'abdominal pain', 'skin issues', 'fatigue', 'bloating', 'mood swings']",False,negative
Methocarbamol,Muscle Spasm,7,['nausea'],True,positive
Contrave,Obesity,10,['increased protein in urine'],True,positive
Ethinyl estradiol / norethindrone,Birth Control,2,"['cramps', 'abdominal pain', 'loss of sex drive', 'diarrhea', 'depression', 'spotting']",False,negative
Dapsone,Acne,10,[],True,positive
Microgestin Fe 1 / 20,Birth Control,1,"['fatigue', 'acne', 'mood changes']",False,negative
Citalopram,Depression,10,[],True,positive
Levonorgestrel,Emergency Contraception,9,[],True,positive
Benzoyl peroxide / clindamycin,Acne,2,"['skin dryness', 'skin irritation', 'erythema', 'peeling', 'acne worsening']",False,negative
Generess Fe,Birth Control,10,"['light spotting', 'cramps']",True,positive
Ethinyl estradiol / norethindrone,Birth Control,7,['spotting'],True,positive
Naproxen,Period Pain,10,[],True,positive
Citalopram,Generalized Anxiety Disorde,1,"['severe anxiety', 'panic attacks', 'chest pain sensation', 'confusion', 'feeling lost', 'adverse reaction to Prozac 40mg requiring ER visit']",False,negative
Contrave,Obesity,9,"['feeling out of it', 'nausea']",True,positive
Qsymia,Weight Loss,1,['altered taste perception'],False,negative
Librium,Alcohol Withdrawal,10,['fatigue'],True,positive
Acetaminophen / hydrocodone,Back Pain,10,[],True,positive
Mirena,Abnormal Uterine Bleeding,3,"['prolonged bleeding', 'abnormal spotting', 'expulsion of device', 'blood clots', 'excessive bleeding']",False,negative
Vyvanse,ADHD,9,"['weight loss concern', 'appetite suppression']",True,mixed
Conjugated estrogens,Oophorectomy,10,"['breakthrough hot flashes', 'PMS']",True,positive
Valsartan,High Blood Pressure,1,"['persistent cough', 'worsening cough']",False,negative
Tizanidine,Muscle Spasm,9,['tiredness'],True,positive
Venlafaxine,Generalized Anxiety Disorde,10,"['sexual dysfunction', 'irritable bowel syndrome', 'weight gain', 'emotional blunting', 'loss of efficacy']",True,positive
Macrodantin,Prevention of Bladder infection,7,"['fever', 'chills', 'headaches', 'muscle cramps', 'flu-like symptoms']",False,negative
Tizanidine,Muscle Spasm,9,[],True,positive
Omalizumab,Urticaria,1,"['intense fatigue', 'herpes outbreak', 'arthralgia', 'neck pain', 'cough', 'sore throat', 'depression']",False,negative
Topiramate,ibromyalgia,8,"['skin itching', 'delayed circadian rhythm disorder', 'early morning awakening', 'altered sleep schedule']",True,mixed
Sertraline,Obsessive Compulsive Disorde,9,"['morning sickness', 'brain fog', 'restless legs', 'insomnia', 'decreased libido']",True,positive
Citalopram,Anxiety and Stress,4,"['irritability', 'temper issues']",False,negative
Ocella,Birth Control,8,"['breakthrough bleeding', 'bloating', 'nausea', 'weight gain']",True,mixed
Azithromycin,Bronchitis,1,[],False,negative
MS Contin,Chronic Pain,10,[],True,positive
Methylphenidate,,10,[],True,positive
Acetaminophen / tramadol,Pain,10,[],True,positive
Estradiol,Postmenopausal Symptoms,1,"['chest pain', 'chest heaviness']",False,negative
Carbamazepine,Trigeminal Neuralgia,6,['drowsiness'],True,positive
Isotretinoin,Acne,10,['dry lips'],True,positive
